instruction,response,product_name,total_price,price_per_unit,unit_value,unit
"What is the price per unit for Smuckers Natural Peanut Butter Chunky, 16 OZ (Pack of 12)?","The price per unit for Smuckers Natural Peanut Butter Chunky, 16 OZ (Pack of 12) is $0.022 per Fl Oz. The total price is $4.26 for 192.0 Fl Oz.","Smuckers Natural Peanut Butter Chunky, 16 OZ (Pack of 12)",4.26,0.0222,192.0,Fl Oz
"What is the price per unit for BODYARMOR LYTE Sports Drink Low-Calorie Sports Beverage, Strawberry Banana, Coconut Water Hydration, Potassium-Packed Electrolytes, Perfect For Athletes, 28 Fl Oz (Pack of 12)?","The price per unit for BODYARMOR LYTE Sports Drink Low-Calorie Sports Beverage, Strawberry Banana, Coconut Water Hydration, Potassium-Packed Electrolytes, Perfect For Athletes, 28 Fl Oz (Pack of 12) is $0.005 per Fl Oz. The total price is $1.67 for 336.0 Fl Oz.","BODYARMOR LYTE Sports Drink Low-Calorie Sports Beverage, Strawberry Banana, Coconut Water Hydration, Potassium-Packed Electrolytes, Perfect For Athletes, 28 Fl Oz (Pack of 12)",1.67,0.005,336.0,Fl Oz
What is the price per unit for Organic Vinegar; Apple Cider?,The price per unit for Organic Vinegar; Apple Cider is $0.798 per Fl Oz. The total price is $81.44 for 102.0 Fl Oz.,Organic Vinegar; Apple Cider,81.44,0.7984,102.0,Fl Oz
What is the price per unit for Himalania Pink Salt Fine Jar 10.0 OZ(Pack of 6)?,The price per unit for Himalania Pink Salt Fine Jar 10.0 OZ(Pack of 6) is $5.672 per Ounce. The total price is $56.72 for 10.0 Ounce.,Himalania Pink Salt Fine Jar 10.0 OZ(Pack of 6),56.72,5.672,10.0,Ounce
"What is the price per unit for BUSH'S BEST 16 oz Canned Barbecue Baked Beans, Source of Plant Based Protein and Fiber, Low Fat, Gluten Free, (Pack of 12)?","The price per unit for BUSH'S BEST 16 oz Canned Barbecue Baked Beans, Source of Plant Based Protein and Fiber, Low Fat, Gluten Free, (Pack of 12) is $0.029 per Ounce. The total price is $5.47 for 192.0 Ounce.","BUSH'S BEST 16 oz Canned Barbecue Baked Beans, Source of Plant Based Protein and Fiber, Low Fat, Gluten Free, (Pack of 12)",5.47,0.0285,192.0,Ounce
"What is the price per unit for BulkSupplements.com Trehalose Powder - Natural Sweetener, Trehalose Sugar Substitute - Vegan & Gluten Free, 5g per Serving, 5kg (11 lbs) (Pack of 5)?","The price per unit for BulkSupplements.com Trehalose Powder - Natural Sweetener, Trehalose Sugar Substitute - Vegan & Gluten Free, 5g per Serving, 5kg (11 lbs) (Pack of 5) is $0.624 per Ounce. The total price is $109.97 for 176.4 Ounce.","BulkSupplements.com Trehalose Powder - Natural Sweetener, Trehalose Sugar Substitute - Vegan & Gluten Free, 5g per Serving, 5kg (11 lbs) (Pack of 5)",109.97,0.6235,176.37,Ounce
"What is the price per unit for Sayan Siberian All Day Set Instant Chaga Mushroom Tea, Pack of 3 Daily Tablets (90 Pcs) - Wild-Harvested, Premium Blend – Natural Antioxidant Tea for Immune Support, Energy Boost & Improved Digestion?","The price per unit for Sayan Siberian All Day Set Instant Chaga Mushroom Tea, Pack of 3 Daily Tablets (90 Pcs) - Wild-Harvested, Premium Blend – Natural Antioxidant Tea for Immune Support, Energy Boost & Improved Digestion is $0.567 per Count. The total price is $50.99 for 90.0 Count.","Sayan Siberian All Day Set Instant Chaga Mushroom Tea, Pack of 3 Daily Tablets (90 Pcs) - Wild-Harvested, Premium Blend – Natural Antioxidant Tea for Immune Support, Energy Boost & Improved Digestion",50.99,0.5666,90.0,Count
"What is the price per unit for Food to Live Black-Eyed Peas, 25 Pounds - Raw Dried Whole Cow Peas, Kosher, Vegan, Sproutable. High in Dietary Fiber, Easy to Cook. Product of the USA?","The price per unit for Food to Live Black-Eyed Peas, 25 Pounds - Raw Dried Whole Cow Peas, Kosher, Vegan, Sproutable. High in Dietary Fiber, Easy to Cook. Product of the USA is $0.247 per Ounce. The total price is $98.99 for 400.0 Ounce.","Food to Live Black-Eyed Peas, 25 Pounds - Raw Dried Whole Cow Peas, Kosher, Vegan, Sproutable. High in Dietary Fiber, Easy to Cook. Product of the USA",98.99,0.2475,400.0,Ounce
"What is the price per unit for ALOHA Organic Plant Based Protein Bar MINIS |Caramel Chocolate Pecan | 20 Count, 24g Bars | Vegan, Low Sugar, Gluten Free, Low Carb, Non-GMO, Stevia Free, Soy Free, No Sugar Alcohols?","The price per unit for ALOHA Organic Plant Based Protein Bar MINIS |Caramel Chocolate Pecan | 20 Count, 24g Bars | Vegan, Low Sugar, Gluten Free, Low Carb, Non-GMO, Stevia Free, Soy Free, No Sugar Alcohols is $1.605 per Count. The total price is $32.09 for 20.0 Count.","ALOHA Organic Plant Based Protein Bar MINIS |Caramel Chocolate Pecan | 20 Count, 24g Bars | Vegan, Low Sugar, Gluten Free, Low Carb, Non-GMO, Stevia Free, Soy Free, No Sugar Alcohols",32.09,1.6045,20.0,Count
"What is the price per unit for PLANTERS Unsalted Dry Roasted Peanuts, Resealable Jar, Kosher Nuts, Plant-Based Protein, Quick Snack for Adults, After School Snack, 35 oz Canister?","The price per unit for PLANTERS Unsalted Dry Roasted Peanuts, Resealable Jar, Kosher Nuts, Plant-Based Protein, Quick Snack for Adults, After School Snack, 35 oz Canister is $12.320 per Count. The total price is $12.32 for 1.0 Count.","PLANTERS Unsalted Dry Roasted Peanuts, Resealable Jar, Kosher Nuts, Plant-Based Protein, Quick Snack for Adults, After School Snack, 35 oz Canister",12.32,12.32,1.0,Count
"What is the price per unit for AMYS CHILI SPICY GF ORG, 14.7 OZ?","The price per unit for AMYS CHILI SPICY GF ORG, 14.7 OZ is $0.280 per Fl Oz. The total price is $4.12 for 14.7 Fl Oz.","AMYS CHILI SPICY GF ORG, 14.7 OZ",4.12,0.2803,14.7,Fl Oz
"What is the price per unit for AriZona Mucho Mango Fruit Juice Cocktail, 20 Fl Oz (Pack of 12)?","The price per unit for AriZona Mucho Mango Fruit Juice Cocktail, 20 Fl Oz (Pack of 12) is $0.068 per Fl Oz. The total price is $16.40 for 240.0 Fl Oz.","AriZona Mucho Mango Fruit Juice Cocktail, 20 Fl Oz (Pack of 12)",16.4,0.0683,240.0,Fl Oz
What is the price per unit for Trader Joe's Dark Chocolate Covered Espresso Beans 14 oz.?,The price per unit for Trader Joe's Dark Chocolate Covered Espresso Beans 14 oz. is $1.221 per Ounce. The total price is $17.10 for 14.0 Ounce.,Trader Joe's Dark Chocolate Covered Espresso Beans 14 oz.,17.1,1.2211,14.0,Ounce
What is the price per unit for Freeze Dried Air Heads (Tarbosaurus Tongues) 4.5 Oz?,The price per unit for Freeze Dried Air Heads (Tarbosaurus Tongues) 4.5 Oz is $3.444 per Ounce. The total price is $15.50 for 4.5 Ounce.,Freeze Dried Air Heads (Tarbosaurus Tongues) 4.5 Oz,15.5,3.4444,4.5,Ounce
What is the price per unit for Klass Listo Jamaica Hibiscus Blended Mexican Drink Mix (2 x 14.1 oz. Packets)?,The price per unit for Klass Listo Jamaica Hibiscus Blended Mexican Drink Mix (2 x 14.1 oz. Packets) is $0.731 per Ounce. The total price is $20.61 for 28.2 Ounce.,Klass Listo Jamaica Hibiscus Blended Mexican Drink Mix (2 x 14.1 oz. Packets),20.61,0.7309,28.2,Ounce
"What is the price per unit for La Costeña Whole Pinto Beans with Jalapeños, 19.75 Oz?","The price per unit for La Costeña Whole Pinto Beans with Jalapeños, 19.75 Oz is $0.080 per Ounce. The total price is $1.58 for 19.8 Ounce.","La Costeña Whole Pinto Beans with Jalapeños, 19.75 Oz",1.58,0.08,19.75,Ounce
"What is the price per unit for Colour Mill Oil-Based Food Coloring, 100 Milliliters (Navy)?","The price per unit for Colour Mill Oil-Based Food Coloring, 100 Milliliters (Navy) is $5.871 per Fl Oz. The total price is $19.84 for 3.4 Fl Oz.","Colour Mill Oil-Based Food Coloring, 100 Milliliters (Navy)",19.84,5.8713,3.38,Fl Oz
"What is the price per unit for Maybelline New York Dream Matte Mousse Foundation, Porcelain Ivory, 0.64 Ounce?","The price per unit for Maybelline New York Dream Matte Mousse Foundation, Porcelain Ivory, 0.64 Ounce is $21.078 per Ounce. The total price is $13.49 for 0.6 Ounce.","Maybelline New York Dream Matte Mousse Foundation, Porcelain Ivory, 0.64 Ounce",13.49,21.0781,0.64,Ounce
What is the price per unit for Marshalls Creek Spices SAGE GROUND 7 oz. Kraft Stand Up Pouch ECO Friendly Recyclable Mailer?,The price per unit for Marshalls Creek Spices SAGE GROUND 7 oz. Kraft Stand Up Pouch ECO Friendly Recyclable Mailer is $1.826 per Ounce. The total price is $12.78 for 7.0 Ounce.,Marshalls Creek Spices SAGE GROUND 7 oz. Kraft Stand Up Pouch ECO Friendly Recyclable Mailer,12.78,1.8257,7.0,Ounce
What is the price per unit for Dark Chocolate Nonpareils - 5 LB Resealable Stand Up Candy Bag - Chocolate Discs Topped with White Nonpareils - Gourmet Chocolates - Bulk Candies for Parties or Holidays?,The price per unit for Dark Chocolate Nonpareils - 5 LB Resealable Stand Up Candy Bag - Chocolate Discs Topped with White Nonpareils - Gourmet Chocolates - Bulk Candies for Parties or Holidays is $0.812 per Ounce. The total price is $64.99 for 80.0 Ounce.,Dark Chocolate Nonpareils - 5 LB Resealable Stand Up Candy Bag - Chocolate Discs Topped with White Nonpareils - Gourmet Chocolates - Bulk Candies for Parties or Holidays,64.99,0.8124,80.0,Ounce
"What is the price per unit for Country Archer Beef Stick, Jalapeno 1.0 OZ (Pack of 4)?","The price per unit for Country Archer Beef Stick, Jalapeno 1.0 OZ (Pack of 4) is $7.695 per Count. The total price is $30.78 for 4.0 Count.","Country Archer Beef Stick, Jalapeno 1.0 OZ (Pack of 4)",30.78,7.695,4.0,Count
What is the price per unit for Snyder’s of Hanover Gluten Free Pretzel variety pack?,The price per unit for Snyder’s of Hanover Gluten Free Pretzel variety pack is $1.142 per Ounce. The total price is $23.99 for 21.0 Ounce.,Snyder’s of Hanover Gluten Free Pretzel variety pack,23.99,1.1424,21.0,Ounce
"What is the price per unit for Camellia Brand Dried Black Beans, 1 Pound (Pack of 2)?","The price per unit for Camellia Brand Dried Black Beans, 1 Pound (Pack of 2) is $0.402 per Ounce. The total price is $12.85 for 32.0 Ounce.","Camellia Brand Dried Black Beans, 1 Pound (Pack of 2)",12.85,0.4016,32.0,Ounce
"What is the price per unit for Arrowhead Mills Organic Green Lentils, 16-Ounce Bags (Pack of 6)?","The price per unit for Arrowhead Mills Organic Green Lentils, 16-Ounce Bags (Pack of 6) is $0.772 per Count. The total price is $9.27 for 12.0 Count.","Arrowhead Mills Organic Green Lentils, 16-Ounce Bags (Pack of 6)",9.27,0.7725,12.0,Count
What is the price per unit for Iberia Organic Red Kidney Beans 15.5 oz (Pack of 8)?,The price per unit for Iberia Organic Red Kidney Beans 15.5 oz (Pack of 8) is $0.242 per Ounce. The total price is $29.96 for 124.0 Ounce.,Iberia Organic Red Kidney Beans 15.5 oz (Pack of 8),29.96,0.2416,124.0,Ounce
"What is the price per unit for Buchu Leaf (Organic) Tea (Loose) (4 oz, ZIN: 512125) - 3 Pack?","The price per unit for Buchu Leaf (Organic) Tea (Loose) (4 oz, ZIN: 512125) - 3 Pack is $10.377 per Ounce. The total price is $124.52 for 12.0 Ounce.","Buchu Leaf (Organic) Tea (Loose) (4 oz, ZIN: 512125) - 3 Pack",124.52,10.3767,12.0,Ounce
"What is the price per unit for Starbucks Ground Coffee, 16 caffe verona 32 Ounce (Pack of 2)?","The price per unit for Starbucks Ground Coffee, 16 caffe verona 32 Ounce (Pack of 2) is $0.531 per Ounce. The total price is $16.99 for 32.0 Ounce.","Starbucks Ground Coffee, 16 caffe verona 32 Ounce (Pack of 2)",16.99,0.5309,32.0,Ounce
"What is the price per unit for Celestial Seasonings Herbal Tea, Red Zinger, 20 Count?","The price per unit for Celestial Seasonings Herbal Tea, Red Zinger, 20 Count is $0.275 per Count. The total price is $5.49 for 20.0 Count.","Celestial Seasonings Herbal Tea, Red Zinger, 20 Count",5.49,0.2745,20.0,Count
"What is the price per unit for Community Coffee Breakfast Blend 36 Count Coffee Pods, Medium Roast, Compatible with Keurig 2.0 K-cup Brewers, 12 Count (Pack of 3)?","The price per unit for Community Coffee Breakfast Blend 36 Count Coffee Pods, Medium Roast, Compatible with Keurig 2.0 K-cup Brewers, 12 Count (Pack of 3) is $0.340 per Count. The total price is $12.23 for 36.0 Count.","Community Coffee Breakfast Blend 36 Count Coffee Pods, Medium Roast, Compatible with Keurig 2.0 K-cup Brewers, 12 Count (Pack of 3)",12.23,0.3397,36.0,Count
"What is the price per unit for Don Francisco's 100% Colombia Supremo Ground Coffee, Medium Roast, 100% Arabica (12 Ounce Can)?","The price per unit for Don Francisco's 100% Colombia Supremo Ground Coffee, Medium Roast, 100% Arabica (12 Ounce Can) is $0.583 per Ounce. The total price is $6.99 for 12.0 Ounce.","Don Francisco's 100% Colombia Supremo Ground Coffee, Medium Roast, 100% Arabica (12 Ounce Can)",6.99,0.5825,12.0,Ounce
"What is the price per unit for KaBloom Flowers - Exotic Perla White Orchid Bouquet of 10 White Orchids Without Vase - Gift for Birthday, Get Well, Easter, Valentine, Mother’s Day Fresh Flowers?","The price per unit for KaBloom Flowers - Exotic Perla White Orchid Bouquet of 10 White Orchids Without Vase - Gift for Birthday, Get Well, Easter, Valentine, Mother’s Day Fresh Flowers is $58.130 per Count. The total price is $58.13 for 1.0 Count.","KaBloom Flowers - Exotic Perla White Orchid Bouquet of 10 White Orchids Without Vase - Gift for Birthday, Get Well, Easter, Valentine, Mother’s Day Fresh Flowers",58.13,58.13,1.0,Count
"What is the price per unit for Jiva Organic Coconut Milk Powder 1.25 LB - Gluten Free, Vegan, Dairy Free, All Natural Plant Based Creamer, Keto Friendly, Full Fat & Premium Sri Lankan Quality?","The price per unit for Jiva Organic Coconut Milk Powder 1.25 LB - Gluten Free, Vegan, Dairy Free, All Natural Plant Based Creamer, Keto Friendly, Full Fat & Premium Sri Lankan Quality is $0.599 per Ounce. The total price is $11.98 for 20.0 Ounce.","Jiva Organic Coconut Milk Powder 1.25 LB - Gluten Free, Vegan, Dairy Free, All Natural Plant Based Creamer, Keto Friendly, Full Fat & Premium Sri Lankan Quality",11.98,0.599,20.0,Ounce
"What is the price per unit for Pickled Garlic, Sweet, 2-14 Ounce Jars?","The price per unit for Pickled Garlic, Sweet, 2-14 Ounce Jars is $1.069 per Ounce. The total price is $29.94 for 28.0 Ounce.","Pickled Garlic, Sweet, 2-14 Ounce Jars",29.94,1.0693,28.0,Ounce
"What is the price per unit for Simple Mills Rosemary & Sea Salt Almond Flour Crackers Family Size, Pack of 6?","The price per unit for Simple Mills Rosemary & Sea Salt Almond Flour Crackers Family Size, Pack of 6 is $0.180 per Ounce. The total price is $7.56 for 42.0 Ounce.","Simple Mills Rosemary & Sea Salt Almond Flour Crackers Family Size, Pack of 6",7.56,0.18,42.0,Ounce
"What is the price per unit for Equator Coffees, Equator Blend Ground Coffee, Medium Dark Roast, Fresh Roasted, Smooth Chocolate & Nutmeg Flavor Notes, Sustainable, 10.5 oz Bag?","The price per unit for Equator Coffees, Equator Blend Ground Coffee, Medium Dark Roast, Fresh Roasted, Smooth Chocolate & Nutmeg Flavor Notes, Sustainable, 10.5 oz Bag is $3.292 per Ounce. The total price is $34.57 for 10.5 Ounce.","Equator Coffees, Equator Blend Ground Coffee, Medium Dark Roast, Fresh Roasted, Smooth Chocolate & Nutmeg Flavor Notes, Sustainable, 10.5 oz Bag",34.57,3.2924,10.5,Ounce
What is the price per unit for Seasons Brand Imported Skinless & Boneless Sardines in Water No Salt Added -- 4.25 oz - 3PC?,"The total price for Seasons Brand Imported Skinless & Boneless Sardines in Water No Salt Added -- 4.25 oz - 3PC is $2.54, but price per unit information is not available.",Seasons Brand Imported Skinless & Boneless Sardines in Water No Salt Added -- 4.25 oz - 3PC,2.54,0.0,0.0,None
"What is the price per unit for Yoo-Hoo Chocolate Drink, 4 ct?","The price per unit for Yoo-Hoo Chocolate Drink, 4 ct is $0.092 per Fl Oz. The total price is $4.42 for 48.0 Fl Oz.","Yoo-Hoo Chocolate Drink, 4 ct",4.42,0.0921,48.0,Fl Oz
"What is the price per unit for Carniceria Compare, Mineragua Club Soda, 12.5 Fl Oz?","The price per unit for Carniceria Compare, Mineragua Club Soda, 12.5 Fl Oz is $0.075 per Fl Oz. The total price is $0.94 for 12.5 Fl Oz.","Carniceria Compare, Mineragua Club Soda, 12.5 Fl Oz",0.94,0.0752,12.5,Fl Oz
"What is the price per unit for THE GOOD CRISP COMPANY Outback BBQ Crinkle Cut Potato Chips, 5.5 OZ?","The price per unit for THE GOOD CRISP COMPANY Outback BBQ Crinkle Cut Potato Chips, 5.5 OZ is $1.216 per Ounce. The total price is $6.69 for 5.5 Ounce.","THE GOOD CRISP COMPANY Outback BBQ Crinkle Cut Potato Chips, 5.5 OZ",6.69,1.2164,5.5,Ounce
"What is the price per unit for Carbquik Baking Mix, 3 Lb (48 Oz) (Pack of 1)?","The price per unit for Carbquik Baking Mix, 3 Lb (48 Oz) (Pack of 1) is $0.635 per Ounce. The total price is $30.48 for 48.0 Ounce.","Carbquik Baking Mix, 3 Lb (48 Oz) (Pack of 1)",30.48,0.6349,48.0,Ounce
"What is the price per unit for GRADY’S COLD BREW Coffee Pouches | New Orleans Style | 100% Arabica Ground Coffee & Chicory | TWO Coffee Cans, each with 4 Easy-to-Brew Bean Bags | Makes 24 drinks?","The total price for GRADY’S COLD BREW Coffee Pouches | New Orleans Style | 100% Arabica Ground Coffee & Chicory | TWO Coffee Cans, each with 4 Easy-to-Brew Bean Bags | Makes 24 drinks is $34.92, but price per unit information is not available.","GRADY’S COLD BREW Coffee Pouches | New Orleans Style | 100% Arabica Ground Coffee & Chicory | TWO Coffee Cans, each with 4 Easy-to-Brew Bean Bags | Makes 24 drinks",34.92,0.0,0.0,Ounce
"What is the price per unit for Crystal Light On The Go Raspberry Lemonade Drink Mix, 10-Packet Box (Pack of 50)?","The price per unit for Crystal Light On The Go Raspberry Lemonade Drink Mix, 10-Packet Box (Pack of 50) is $0.060 per Count. The total price is $2.99 for 50.0 Count.","Crystal Light On The Go Raspberry Lemonade Drink Mix, 10-Packet Box (Pack of 50)",2.99,0.0598,50.0,Count
"What is the price per unit for Beulah's Christmas Candy Corn, 1 Pound Package, 240 Pieces of Candy?","The price per unit for Beulah's Christmas Candy Corn, 1 Pound Package, 240 Pieces of Candy is $1.299 per Ounce. The total price is $20.79 for 16.0 Ounce.","Beulah's Christmas Candy Corn, 1 Pound Package, 240 Pieces of Candy",20.79,1.2994,16.0,Ounce
"What is the price per unit for Zabaglione Strawberry Pu-erh Tea (50 tea bags, ZIN: 535909) - 3 Pack?","The price per unit for Zabaglione Strawberry Pu-erh Tea (50 tea bags, ZIN: 535909) - 3 Pack is $0.385 per Count. The total price is $57.70 for 150.0 Count.","Zabaglione Strawberry Pu-erh Tea (50 tea bags, ZIN: 535909) - 3 Pack",57.7,0.3847,150.0,Count
What is the price per unit for Haldiram's plain bhujia 35.30 oz?,The price per unit for Haldiram's plain bhujia 35.30 oz is $0.708 per Ounce. The total price is $24.99 for 35.3 Ounce.,Haldiram's plain bhujia 35.30 oz,24.99,0.7079,35.3,Ounce
"What is the price per unit for Food to Live - Blanched Whole Almonds, 2 Pounds — Raw, Skinless, Unsalted, Keto, Vegan, Kosher, Bulk. High in Protein, Fiber, Vitamin E, Riboflavin.?","The price per unit for Food to Live - Blanched Whole Almonds, 2 Pounds — Raw, Skinless, Unsalted, Keto, Vegan, Kosher, Bulk. High in Protein, Fiber, Vitamin E, Riboflavin. is $0.551 per Ounce. The total price is $17.63 for 32.0 Ounce.","Food to Live - Blanched Whole Almonds, 2 Pounds — Raw, Skinless, Unsalted, Keto, Vegan, Kosher, Bulk. High in Protein, Fiber, Vitamin E, Riboflavin.",17.63,0.5511,32.0,Ounce
What is the price per unit for Lavazza Gran Riserva Filtro Ground Coffee Dark Roast 8oz Brick?,The price per unit for Lavazza Gran Riserva Filtro Ground Coffee Dark Roast 8oz Brick is $1.311 per Ounce. The total price is $10.49 for 8.0 Ounce.,Lavazza Gran Riserva Filtro Ground Coffee Dark Roast 8oz Brick,10.49,1.3112,8.0,Ounce
What is the price per unit for Sapsquatch Organic Maple Sugar (4 Pounds)?,The price per unit for Sapsquatch Organic Maple Sugar (4 Pounds) is $1.000 per Ounce. The total price is $63.99 for 64.0 Ounce.,Sapsquatch Organic Maple Sugar (4 Pounds),63.99,0.9998,64.0,Ounce
"What is the price per unit for Bonne Maman Assorted Mini Jams - Strawberry, Apricot, Raspberry, Orange Marmalade, Cherry - 8.82 ounces total?","The price per unit for Bonne Maman Assorted Mini Jams - Strawberry, Apricot, Raspberry, Orange Marmalade, Cherry - 8.82 ounces total is $1.299 per Ounce. The total price is $11.46 for 8.8 Ounce.","Bonne Maman Assorted Mini Jams - Strawberry, Apricot, Raspberry, Orange Marmalade, Cherry - 8.82 ounces total",11.46,1.2993,8.82,Ounce
"What is the price per unit for V8 Juice, 11.5-Ounce Bottles (Pack of 24)?","The price per unit for V8 Juice, 11.5-Ounce Bottles (Pack of 24) is $0.046 per Fl Oz. The total price is $12.80 for 276.0 Fl Oz.","V8 Juice, 11.5-Ounce Bottles (Pack of 24)",12.8,0.0464,276.0,Fl Oz
"What is the price per unit for Built Bar, Puff Protein Bars, Cookies 'N Cream Puff, 17g Protein Snacks, On-The-Go Bars, Only 140 Calories, 7g Sugar, Collagen, Not Gluten Free, 12 Count?","The price per unit for Built Bar, Puff Protein Bars, Cookies 'N Cream Puff, 17g Protein Snacks, On-The-Go Bars, Only 140 Calories, 7g Sugar, Collagen, Not Gluten Free, 12 Count is $1.772 per Ounce. The total price is $29.99 for 16.9 Ounce.","Built Bar, Puff Protein Bars, Cookies 'N Cream Puff, 17g Protein Snacks, On-The-Go Bars, Only 140 Calories, 7g Sugar, Collagen, Not Gluten Free, 12 Count",29.99,1.7725,16.92,Ounce
"What is the price per unit for Reggae Spice Jamaican Jerk Marinade | 60-Second Authentic Wet Rub Seasoning Sauce for Cooking Meats | Gluten Free, Vegan, and Keto Friendly | Sweet or Spicy Flavor Wet Paste (Hot & Spicy)?","The price per unit for Reggae Spice Jamaican Jerk Marinade | 60-Second Authentic Wet Rub Seasoning Sauce for Cooking Meats | Gluten Free, Vegan, and Keto Friendly | Sweet or Spicy Flavor Wet Paste (Hot & Spicy) is $1.590 per Ounce. The total price is $17.49 for 11.0 Ounce.","Reggae Spice Jamaican Jerk Marinade | 60-Second Authentic Wet Rub Seasoning Sauce for Cooking Meats | Gluten Free, Vegan, and Keto Friendly | Sweet or Spicy Flavor Wet Paste (Hot & Spicy)",17.49,1.59,11.0,Ounce
