Product_Name,Total_Price,Price_Per_Unit,Unit_Value,Unit
Nestle Polo Mint Original Tube 34g,7.8,222.8571,0.04,kg
"Giusti Balsamic Vinegar of Modena IGP Historical Collection – 5 Bottles Matured at Various Levels in a Wooden Box, Authentic Aceto Balsamico di Modena Gift Set From Italy – 5 x 3.38 fl oz (5 x100 ml)",219.99,219.99,1.0,Count
"Gourmet Toasted Pine Nuts by It's Delish, 10 lbs Bulk Bag - Premium Pine Nuts Pignolias Dry Roasted – Healthy Snack, Topping for Salad, Hummus, Granola & Ice cream – Keto, Vegan, Kosher",219.99,219.99,1.0,Ounce
"Lady Mixed Greens Bouquet | 15-Pack | Fresh Cut Greenery For Delivery By Bloomingmore | Home, Office, Birthday, Wedding Decor, DIY, Party Event, Housewarming, Teacher and Engagement",219.98,219.98,1.0,Count
"NuManna Freeze-Dried Diced Chicken Breast Bucket 36 Servings over 25 Grams of Protein per Serving Emergency Survival Food Storage Kit No Added Preservatives, Made In USA 25+ Year Shelf Life",219.75,219.75,1.0,Count
"Star Anise by Its Delish, (10 lbs)",215.99,215.99,1.0,Count
"Los Cabos Breakfast Burritos/Wraps (Sausage, Egg & Cheese with Green Chile Salsa, 3.75 oz-- Pack of 120)",215.78,215.78,1.0,Count
"BULK Organic Fresh Grind Almond Butter, 1 EA",215.02,215.02,1.0,Count
"L'Oréal Paris Colour Riche Le Matte Lipstick Pen, Game, Set + Matte, 0.032 oz.",6.88,215.0,0.03,Ounce
"Blommingmore | Farm Fresh Hot Pink Ranunculus | 140 Stems | Floral Arrangements | Home, Office, Wedding Decor, DIY, Party Event, Housewarming, Teacher and Engagement",214.98,214.98,1.0,Count
"Bloomingmore Flowers, 140 Farm Fresh Yellow Ranunculus",214.98,214.98,1.0,Count
"Blommingmore | Fresh Cut Flowers | Orange Ranunculus | 140 Stems | Home, Office, Wedding Decor, DIY, Party Event, Housewarming, Teacher and Engagement",214.98,214.98,1.0,Count
"Golden Saffron, Finest Pure Premium All Red Saffron Threads, Grade A+ Super Negin Non-GMO Verified. For Tea, Paella, Rice, Desserts, Golden Milk and Risotto (2 Grams)",14.95,213.5714,0.07,Ounce
"Zand Saffron Threads – 2g Premium Grade A Organic Pure Saffron Spice for Cooking Basmati Rice, and More – in Decorative Airtight Tin with Window Lid",14.95,213.5714,0.07,Ounce
RJ SPAGNOL'S EN PRIMEUR WINERY SERIES AUSTRALIAN SHIRAZ,213.5,213.5,1.0,Count
"Ddrops Baby 400 IU Vitamin D, 90 Drops, 2.5 ml, 0.08 Fluid Ounce",17.03,212.875,0.08,Fl Oz
"Food Gift Baskets, Congratulations, Anniversary, and Wedding Food Towers, Gift Baskets For Family, Friends, or Corporate Clients By Dulcet Gift Baskets",210.0,210.0,1.0,Count
igourmet Beemster Classic Cheese Wheel and igourmet Cheese Storage Bag - 18-Month Aged Dutch Gouda - Half Wheel (12 pound),208.99,208.99,1.0,Count
Darkness Confetti Painted Roses 50 cm - 100 Stems,207.98,207.98,1.0,Count
"Scabiosa Assorted color, 180 Stems",206.98,206.98,1.0,Count
"Readi Bake Benefit Cookie Dough Whole Grain Double Chocolate, 1 Ounce -- 384 per case.",206.64,206.64,1.0,Fl Oz
Davidsons Organics 7413 2 oz Green with Lemon Ginseng Sampler Tea - Pack of 6,32.99,206.1875,0.16,Ounce
"Oasis supply Lustre Dust, Egyptian Gold (Super Gold), 2 Gram",14.39,205.5714,0.07,Ounce
"Mama Sita's, Palabok, Oriental Gravy Mix, 2oz (57g)",7.25,205.3824,0.04,Ounce
"Port Salut Cheese Whole Wheel, 4.5 Lbs, Mild and Creamy French Cheese, Perfect for Pairing with Fruit, Rye Bread, Light Red Wines, and Chardonnay",204.99,204.99,1.0,Count
"More Than Gourmet Glace D'agneau Gold, Roasted Lamb Stock, 1.5 Ounce (Pack of 1)",300.0,200.0,1.5,Ounce
"Gourmet Food Gifts Towers, Congratulations, Thank You Gift Baskets for Teachers, Parents, Family & Corporate Office Food Gifts Towers By Dulcet Gift Baskets",199.99,199.99,1.0,Count
4300 Count Roll 6pk Rings Universal Fit - Fits all 12oz Beer Soda Cans - FAST SAME DAY SHIPPING,199.99,199.99,1.0,Count
"Cultures for Health Buttermilk Starter Culture | DIY Buttermilk, Sour Cream, or Butter | Heirloom Starter Cultures at Room Temperature | Gluten-Free, Non-GMO, Rich in Probiotics for Digestive Health",19.99,199.9,0.1,Ounce
"Nutrient Survival MRE Emergency Food Supply, 14-Day Survival Food (72 Servings) Bucket Disaster Kit, Freeze Dried Ready to Eat Meals in Resealable Packs, Shelf Stable up to 15 Years",199.0,199.0,1.0,Count
"SPIRIT OF ART - Organic Saffron Threads for Cooking Saffron Rice, Paella, Risotto, Soup, Desserts and Tea. (2 gram / .070 OZ)",13.99,198.4397,0.07,Ounce
Red Graduation Candy Buffet Class of 2025 Party Favors by Just Candy - Feeds 24-36,197.49,197.49,1.0,Count
Blue Graduation Candy Buffet Class of 2025 Party Favors by Just Candy - Feeds 24-36,197.49,197.49,1.0,Count
Davidsons Organics 1192 Single Serve Assorted Regular Herbal Christmas Tea - 100 Count,31.38,196.125,0.16,Ounce
Woodford Reserve Orange Bitters 2 Fluid Ounces,11.74,195.6667,0.06,Liters
"Hopes Sugar Free Oatmeal Pecan Cookie Dough, 1.0 Ounce -- 320 per case.",195.35,195.35,1.0,Fl Oz
"SPIRIT OF ART SAFFRON - Premium Saffron Threads For Cooking, From Pure Saffron, Pure Organic SPANISH Saffron, Fresh Saffron Spice, (4 Grams | 0.14 Ounce)",26.99,191.2828,0.14,Ounce
"SPIRIT OF ART Saffron Threads for Cooking - Organic Saffron Spice and Super Negin A+ Grade Premium – Hand-Picked Pure Saffron for Paella, Risotto, Tea's, and all Culinary Uses - 4 Grams",26.99,191.2828,0.14,Ounce
"SPIRIT OF ART SAFFRON - Premium Saffron Threads For Cooking, From Pure Saffron, Pure Organic SPANISH Saffron, Fresh Saffron Spice, Grad A+++, (4 Grams | 0.14 Ounce)",26.99,191.2828,0.14,Ounce
"Once Again Organic (Raw) Unroasted Almond Butter, Smooth - 9 lb",190.02,190.02,1.0,Bucket
"Fitbit One Wireless Activity Plus Sleep Tracker, Black",189.99,189.99,1.0,Count
"Golden Saffron, Finest Pure Premium All Red Saffron Threads, Grade A+ Super Negin, Non-GMO Verified. For Tea, Paella, Rice, Desserts, Golden Milk and Risotto (3 Grams)",19.95,188.5633,0.11,Ounce
English Tea Store Margarets Hope Black Tea Loose Leaf Bulk 5lb,188.36,188.36,1.0,Count
Davidsons Organics 7326 2 oz Herbal Lemon Spearmint Sampler Tea - Pack of 6,30.11,188.1875,0.16,Ounce
"Pinky Up Cinnamon Bun Pyramid Tea Sachets - NON-GMO Whole Leaf Tea, Certified Kosher, Caffeine Free & Gluten Free - 15 Biodegradable Cinnamon Tea Bags",19.91,188.1853,0.11,Ounce
"Grandyoats Cashews,Og2,Turmeric Gin 10 Lb",185.49,185.49,1.0,Count
COHO 55 Quart Rotomolded Cooler,185.0,185.0,1.0,Count
"Darling Down Wagyu Beef Bone in Rib Steak Tomahawk, 2 count per pack -- 2 per case.",369.81,184.905,2.0,Count
"Golden Saffron, Premium Spanish Saffron Threads, Pure Red Spanish Saffron Spice Threads, For Culinary Use Such as Tea, Paella Rice, Risotto, Tachin, Basmati Rice (2 Grams)",12.95,183.6879,0.07,Ounce
"Maybelline New York Master Precise Ink Metallic Liquid Liner, Black Comet, 0.06 Fluid Ounce",10.99,183.1667,0.06,Fl Oz
"Gourmet Black Cocoa Powder by Its Delish, 20 LBS Bulk | Premium Chocolatier Grade Dutch 12% Fat Dark Cocoa Powder for Baking, Coloring and Flavoring - Vegan, Non-Dairy, Kosher",179.99,179.99,1.0,Count
AmeriColor Brown Food Powder 3g,6.25,177.0538,0.04,Ounce
"L'Oreal Paris Cosmetics Color Riche Matte Lip Liner, In-Matte-uated with You, 0.04 Ounce",7.06,176.625,0.04,Ounce
"Glutasolve Nutritional Tube Feeding Powder, 22 Gram -- 56 Count",176.59,176.59,1.0,Count
David's Cookies Brookie Bar 24 Count Tray (Pack of 4),175.99,175.99,1.0,Count
"igourmet Cheese Lover's Sampler Gift Box - Includes Spanish Manchego, Italian Gorgonzola Piccante, Double Gloucester Onion & Chive Cheese, Asiago Fresco, Aged Cheddar, Aged Gouda, Brabander Gouda, Gruyere and Camembert",174.99,174.99,1.0,Count
"Bloomingmore | Floral Arrangements | Solomios Gio | 180 Stems | Home, Office, Wedding Decor, DIY, Party Event, Housewarming, Teacher and Engagement",174.98,174.98,1.0,Count
Brill Giant 35lb Pail Light and Fluffy Ready to Use Chocolate Frosting,174.31,174.31,1.0,Count
"Lemonhead Flavor Fusers Candy, 0.8 Ounce -- 288 per case.",136.48,170.6,0.8,Ounce
"Persian Saffron Spice from Afghanistan by Slofoodgroup, Premium Quality Saffron Threads, All Red Saffron filaments for cooking, tea, Baking and More, Grade 1 Quality 3 Grams",18.0,170.1323,0.11,Ounce
igourmet Antipasto Gourmet Gift Box - A classic food assortment combination that comes together elegantly.,169.99,169.99,1.0,Count
"Dried Mushroom Slices (Boletus Luteus) by It's Delish, 5 lbs Bulk | Chilean Sundried Dehydrated and Sliced Mushrooms for Cooking and Flavoring",169.99,169.99,1.0,Count
Davidsons Organics 210 Coconut Chai Tea - Box of 100,26.82,167.625,0.16,Ounce
Pf Changs Sauces Mongolia (Pack of 24),167.23,167.23,1.0,Count
"Simple Greens Bouquet | 10-Pack | Fresh Cut Greenery For Delivery By Bloomingmore | Home, Office, Birthday, Wedding Decor, DIY, Party Event, Housewarming, Teacher and Engagement",166.98,166.98,1.0,Count
"The Special Greens Bouquet | 10-Pack | Fresh Cut Greenery For Delivery By Bloomingmore | Home, Office, Birthday, Wedding Decor, DIY, Party Event, Housewarming, Teacher and Engagement",166.98,166.98,1.0,Count
Pf Changs Sauces Sesame (Pack of 24),166.52,166.52,1.0,Count
"Stouffer's Vegetable Lasagna, 96 oz., (pack of 4)",165.76,165.76,1.0,Count
Italian Pecorino Toscano Stagionato DOP - Whole Cheese Wheel (5 pound),164.99,164.99,1.0,Count
Powerade Mountain Blast Syrup 5 Gallon Bag in Box BIB,164.99,164.99,1.0,Count
"Planters Deluxe Mixed Nut, 2.25 Ounce -- 72 per case. by N/A",163.09,163.09,1.0,Count
"Whole Black Peppercorns by It's Delish – 20 lbs Bulk Bag – Whole Black Pepper - Premium Dried Peppercorns for Grinder Refill – All Natural, Kosher & Fresh",162.99,162.99,1.0,Count
VineCo Original Series California Vieux Chateau Du Roi Wine Making Ingredient Kit,162.8,162.805,1.0,Count
"COVERGIRL Eye Shadow Quads Notice Me Nudes 700 , .06 Ounce (packaging may vary)",9.74,162.3333,0.06,ounce
"Caramelized Walnuts, tub 8.38 pounds",161.97,161.97,1.0,Count
"Amoy Pork Potsticker, 1 Ounce -- 180 per case.",161.72,161.72,1.0,Fl Oz
Ginger People Ginger Chews - Original - Case Of 11 Lbs,160.7,160.7,1.0,Count
"Imitation Bacon Bits by Its Delish, 20 LBS Bulk Bag | Kosher Parve Vegan for Salad Topping, Eggs, Baked Potatoes with Smoky Flavor and Crunch",159.99,159.99,1.0,Count
Folgers Classic Roast Instant Coffee Single Serve - 24 Packets (2 Count),11.24,159.4326,0.07,Ounce
"K-Y Duration Spray for Men Last Longer and Stay in the Moment, 36 Sprays, 0.16 Fluid Ounce",25.49,159.3125,0.16,Ounce
"Lehi Roller Mills, Cookie Mix, Pumpkin Chocolate Chip (Pack of 24)",158.87,158.87,1.0,Count
"[Official Gilim HBAF] Korean Seasoned Laver Almonds Nut Snack | Kids, School, Office, Trip Snack | Pre-workout Snack | Asian Snacks (Seaweed, 1 x 120 gram pack)",5.58,158.0737,0.04,Ounce
"[Official Gilim HBAF] Korean Seasoned Spicy Tteokbokki Almonds Nut Snack, Korean Rice Cake Chili Sauce | School, Work, Travel Snack | Pre-workout Snack | Asian Snacks (Toppoki, 1 x 120 gram pack)",5.58,158.0737,0.04,Ounce
"Boylan Bottling Cane Cola Soda, 5 Gallon -- 1 each.",157.78,157.78,1.0,Count
"Boylan Bottling Lemon Lime Soda, 5 Gallon -- 1 each.",157.53,157.53,1.0,Count
Easy Bake Oven Star Edition + Chocolate Truffle Refill Mix + Mini Whoopie Pies Refill Mix + Mini Whisk.,157.22,157.22,1.0,Count
"Unfi Organic Brown Flax Seed, 50 Pound - 1 each.",156.99,156.99,1.0,Count
"California Steak Rub by Its Delish, (20 Lbs)",155.83,155.83,1.0,Count
"Carolina Rub Seasoning by Its Delish, (20 lbs)",155.83,155.83,1.0,Count
A Gift Inside BTB Big Box,155.49,155.49,1.0,Count
Large Phalaenopsis Silk Flower Arrangement,154.04,154.04,1.0,Count
Oreo Crunch Medium Pieces 25 Pound,153.05,153.05,1.0,Count
"The Spice Hunter California Bay Leaves, Whole, Organic, 0.14-Ounce Jar",21.35,152.5,0.14,Ounce
"Sovereign Greens Mixed Bouquet | 10-Pack | Fresh Cut Greenery For Delivery By Bloomingmore | Home, Office, Birthday, Wedding Decor, DIY, Party Event, Housewarming, Teacher and Engagement",152.08,152.08,1.0,Count
"Gourmet Toasted Pumpkin Seeds Pepitas (Green Pumpkin Seed Kernels, No Shell, Raw) by It's Delish – 5 lbs Bulk Bag – Roasted Unsalted - Perfect for Salads, Baked Goods And Snacking",152.0,152.0,1.0,Count
Helix 911-1212 5 In 1 Fuel Additive 1-12 Pack of 8 Oz. Bottles,151.91,151.91,1.0,Ounce
Chateau Diana Zero Alcohol Removed California White Wine Blend (12x 750 ml.),151.88,151.88,1.0,Count
"Claim to Fame 4-1 Special Wide Beef Patty Hamburger, 40 Pieces of 4 Ounce, 10 Pound -- 1 each.",151.0,151.0,1.0,Count
"Henry and Henry Variety Turnover Apple Filling, 37 Pound -- 1 each.",150.89,150.89,1.0,Count
Royal Instant No Bake Cheesecake Filling (6 pk (4#)),150.22,150.22,1.0,Count
The V.I.P. Gourmet Gift Basket by Wine Country Gift Baskets,150.0,150.0,1.0,Count
"BBQ Honey Roasted Pecans by It's Delish, 10 lbs Bulk | Gourmet Pecan Nuts in Honey Sugar Coating and Barbecue Seasoning, Sweet & Savory Nut Snack - Vegan, Kosher Parve",149.99,149.99,1.0,Count
"READYWISE - Entrée Bucket, 60 Servings, Mega Variety, Emergency Supply, Freeze Dried Food, MRE, Survival Food, Emergency Food for Backpacking, Camping, & Hiking, Prepper Supplies, 25 Year Shelf Life",149.99,149.99,1.0,Count
Good Host Ice Tea Mix Huge Bulk Box 11.34kg/25 Pounds,149.99,149.99,1.0,Count
